#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+--------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                  | delivered(/fb) | recorded(/fb) |
| 305365:6314 | 10/21/17 08:21:12 | 825  | DST_HT410_PFScouting_v12 | 0.261561501    | 0.248985048   |
| 305366:6314 | 10/21/17 13:46:55 | 1239 | DST_HT410_PFScouting_v12 | 0.239446349    | 0.232273985   |
| 305376:6315 | 10/22/17 02:11:09 | 98   | DST_HT410_PFScouting_v12 | 0.034220032    | 0.032670779   |
| 305377:6315 | 10/22/17 03:10:10 | 1514 | DST_HT410_PFScouting_v12 | 0.417257853    | 0.398851417   |
| 305405:6317 | 10/22/17 20:15:49 | 494  | DST_HT410_PFScouting_v12 | 0.169310523    | 0.159491167   |
| 305406:6317 | 10/22/17 23:45:00 | 1458 | DST_HT410_PFScouting_v12 | 0.328170351    | 0.316024204   |
| 305440:6318 | 10/23/17 12:50:33 | 266  | DST_HT410_PFScouting_v12 | 0.092395029    | 0.083253340   |
| 305441:6318 | 10/23/17 14:36:13 | 121  | DST_HT410_PFScouting_v12 | 0.038085372    | 0.036615177   |
| 305516:6323 | 10/24/17 01:42:58 | 552  | DST_HT410_PFScouting_v12 | 0.186384756    | 0.170811889   |
| 305517:6323 | 10/24/17 05:42:14 | 163  | DST_HT410_PFScouting_v12 | 0.049736159    | 0.033973948   |
| 305518:6323 | 10/24/17 06:48:59 | 1134 | DST_HT410_PFScouting_v12 | 0.242865953    | 0.233807313   |
| 305586:6324 | 10/24/17 19:46:56 | 531  | DST_HT410_PFScouting_v12 | 0.180913877    | 0.171033459   |
| 305589:6324 | 10/25/17 00:47:21 | 691  | DST_HT410_PFScouting_v12 | 0.170274056    | 0.162878243   |
| 305590:6324 | 10/25/17 05:17:26 | 1004 | DST_HT410_PFScouting_v12 | 0.155970996    | 0.151936421   |
| 305636:6325 | 10/25/17 15:27:50 | 2326 | DST_HT410_PFScouting_v12 | 0.548675103    | 0.525219671   |
| 305766:6337 | 10/27/17 06:37:33 | 847  | DST_HT410_PFScouting_v12 | 0.276827604    | 0.263689496   |
| 305809:6341 | 10/28/17 01:20:38 | 142  | DST_HT410_PFScouting_v12 | 0.048880031    | 0.045952441   |
| 305814:6343 | 10/28/17 08:17:08 | 1823 | DST_HT410_PFScouting_v12 | 0.469026860    | 0.446803627   |
| 305821:6344 | 10/28/17 22:29:22 | 772  | DST_HT410_PFScouting_v12 | 0.255098811    | 0.240463320   |
| 305832:6346 | 10/29/17 12:22:50 | 180  | DST_HT410_PFScouting_v12 | 0.062759526    | 0.058021275   |
| 305840:6346 | 10/29/17 16:39:01 | 1141 | DST_HT410_PFScouting_v12 | 0.262149299    | 0.251347322   |
| 305842:6346 | 10/30/17 00:07:26 | 862  | DST_HT410_PFScouting_v12 | 0.117828015    | 0.114870231   |
| 305862:6347 | 10/30/17 12:28:42 | 625  | DST_HT410_PFScouting_v12 | 0.212680289    | 0.202188598   |
| 305898:6348 | 10/30/17 21:22:11 | 711  | DST_HT410_PFScouting_v12 | 0.241359854    | 0.230935201   |
| 305902:6349 | 10/31/17 05:27:05 | 469  | DST_HT410_PFScouting_v12 | 0.161708801    | 0.154344858   |
| 305967:6351 | 10/31/17 17:08:26 | 32   | DST_HT410_PFScouting_v12 | 0.011124217    | 0.010507825   |
| 306029:6355 | 11/01/17 19:28:41 | 32   | DST_HT410_PFScouting_v13 | 0.011153950    | 0.009157238   |
| 306030:6355 | 11/01/17 19:41:57 | 110  | DST_HT410_PFScouting_v13 | 0.038360904    | 0.034967629   |
| 306036:6356 | 11/01/17 23:43:47 | 4    | DST_HT410_PFScouting_v13 | 0.001396019    | 0.000072865   |
| 306037:6356 | 11/01/17 23:46:26 | 44   | DST_HT410_PFScouting_v13 | 0.015370796    | 0.012206880   |
| 306038:6356 | 11/02/17 00:06:46 | 138  | DST_HT410_PFScouting_v13 | 0.048166785    | 0.044162104   |
| 306041:6356 | 11/02/17 01:07:18 | 320  | DST_HT410_PFScouting_v13 | 0.107522656    | 0.100003850   |
| 306042:6356 | 11/02/17 03:14:22 | 365  | DST_HT410_PFScouting_v13 | 0.106023825    | 0.100185074   |
| 306048:6356 | 11/02/17 05:39:06 | 136  | DST_HT410_PFScouting_v13 | 0.034464827    | 0.032036620   |
| 306049:6356 | 11/02/17 06:33:33 | 358  | DST_HT410_PFScouting_v13 | 0.078872655    | 0.075297556   |
| 306051:6356 | 11/02/17 09:00:13 | 415  | DST_HT410_PFScouting_v13 | 0.072669368    | 0.070670052   |
| 306091:6358 | 11/02/17 19:43:55 | 198  | DST_HT410_PFScouting_v13 | 0.065433372    | 0.060611342   |
| 306092:6358 | 11/02/17 21:04:27 | 972  | DST_HT410_PFScouting_v13 | 0.235038926    | 0.220128194   |
| 306095:6358 | 11/03/17 03:42:56 | 300  | DST_HT410_PFScouting_v13 | 0.050435816    | 0.049130689   |
| 306121:6360 | 11/03/17 14:15:57 | 91   | DST_HT410_PFScouting_v13 | 0.031758830    | 0.028670528   |
| 306122:6360 | 11/03/17 14:53:17 | 127  | DST_HT410_PFScouting_v13 | 0.044337089    | 0.040636078   |
| 306125:6360 | 11/03/17 15:46:12 | 2964 | DST_HT410_PFScouting_v13 | 0.581028780    | 0.560771797   |
| 306126:6360 | 11/04/17 11:14:24 | 497  | DST_HT410_PFScouting_v13 | 0.030334921    | 0.029717428   |
| 306134:6362 | 11/04/17 18:39:47 | 24   | DST_HT410_PFScouting_v13 | 0.008375497    | 0.006957271   |
| 306135:6362 | 11/04/17 18:52:01 | 1095 | DST_HT410_PFScouting_v13 | 0.349232517    | 0.329516189   |
| 306138:6362 | 11/05/17 02:32:21 | 1298 | DST_HT410_PFScouting_v13 | 0.218013924    | 0.211381092   |
| 306139:6362 | 11/05/17 11:17:58 | 1112 | DST_HT410_PFScouting_v13 | 0.103464849    | 0.101514714   |
| 306153:6364 | 11/06/17 03:35:56 | 83   | DST_HT410_PFScouting_v13 | 0.028946871    | 0.026435393   |
| 306154:6364 | 11/06/17 04:10:19 | 1213 | DST_HT410_PFScouting_v13 | 0.362250840    | 0.334755794   |
| 306155:6364 | 11/06/17 12:12:05 | 1440 | DST_HT410_PFScouting_v13 | 0.225439982    | 0.219491926   |
| 306169:6364 | 11/06/17 22:43:34 | 735  | DST_HT410_PFScouting_v13 | 0.068312137    | 0.066299041   |
| 306170:6364 | 11/07/17 03:33:04 | 15   | DST_HT410_PFScouting_v13 | 0.001212293    | 0.001135254   |
| 306171:6364 | 11/07/17 03:41:35 | 503  | DST_HT410_PFScouting_v13 | 0.036343851    | 0.035728272   |
| 306418:6370 | 11/09/17 03:11:31 | 66   | DST_HT410_PFScouting_v14 | 0.022973290    | 0.020778732   |
| 306419:6370 | 11/09/17 03:41:06 | 58   | DST_HT410_PFScouting_v14 | 0.020135929    | 0.018423612   |
| 306420:6370 | 11/09/17 04:06:38 | 108  | DST_HT410_PFScouting_v14 | 0.037260249    | 0.034221123   |
| 306422:6370 | 11/09/17 05:30:37 | 115  | DST_HT410_PFScouting_v14 | 0.036763197    | 0.034684710   |
| 306423:6370 | 11/09/17 06:16:28 | 323  | DST_HT410_PFScouting_v14 | 0.090765408    | 0.085778258   |
| 306432:6370 | 11/09/17 09:44:06 | 339  | DST_HT410_PFScouting_v14 | 0.034315611    | 0.033338319   |
| 306454:6371 | 11/09/17 15:18:49 | 85   | DST_HT410_PFScouting_v14 | 0.029494176    | 0.026851397   |
| 306455:6371 | 11/09/17 15:53:13 | 6    | DST_HT410_PFScouting_v14 | 0.002099691    | 0.001621957   |
| 306456:6371 | 11/09/17 15:58:09 | 783  | DST_HT410_PFScouting_v14 | 0.247752690    | 0.237025486   |
| 306457:6371 | 11/09/17 21:03:47 | 28   | DST_HT410_PFScouting_v14 | 0.007218752    | 0.006686619   |
| 306458:6371 | 11/09/17 21:15:39 | 221  | DST_HT410_PFScouting_v14 | 0.053480365    | 0.051452197   |
| 306459:6371 | 11/09/17 23:00:10 | 2273 | DST_HT410_PFScouting_v14 | 0.314899328    | 0.307670838   |
| 306460:6371 | 11/10/17 13:48:13 | 64   | DST_HT410_PFScouting_v14 | 0.003866399    | 0.003722601   |
| 300087:6019 | 07/29/17 08:23:31 | 194  | DST_HT410_PFScouting_v9  | 0.013611649    | 0.012856183   |
| 300105:6020 | 07/29/17 14:14:52 | 21   | DST_HT410_PFScouting_v9  | 0.005834990    | 0.001261251   |
| 300106:6020 | 07/29/17 14:26:04 | 74   | DST_HT410_PFScouting_v9  | 0.024514894    | 0.019537401   |
| 300107:6020 | 07/29/17 14:58:01 | 46   | DST_HT410_PFScouting_v9  | 0.014877093    | 0.013369908   |
| 300117:6021 | 07/29/17 18:45:44 | 33   | DST_HT410_PFScouting_v9  | 0.009401160    | 0.006067243   |
| 300122:6024 | 07/29/17 23:46:18 | 1235 | DST_HT410_PFScouting_v9  | 0.324041505    | 0.293521143   |
| 300123:6024 | 07/30/17 07:57:59 | 601  | DST_HT410_PFScouting_v9  | 0.107252431    | 0.101250159   |
| 300155:6026 | 07/30/17 20:49:40 | 1188 | DST_HT410_PFScouting_v9  | 0.311401767    | 0.282029813   |
| 300156:6026 | 07/31/17 04:33:41 | 64   | DST_HT410_PFScouting_v9  | 0.012831177    | 0.011779517   |
| 300157:6026 | 07/31/17 05:14:44 | 1099 | DST_HT410_PFScouting_v9  | 0.177344827    | 0.167472881   |
| 300226:6030 | 07/31/17 19:03:13 | 406  | DST_HT410_PFScouting_v9  | 0.131530199    | 0.115963157   |
| 300233:6031 | 08/01/17 00:08:06 | 111  | DST_HT410_PFScouting_v9  | 0.037708959    | 0.031640189   |
| 300234:6031 | 08/01/17 00:55:49 | 59   | DST_HT410_PFScouting_v9  | 0.019403193    | 0.014608522   |
| 300235:6031 | 08/01/17 01:21:52 | 181  | DST_HT410_PFScouting_v9  | 0.057090735    | 0.049530363   |
| 300236:6031 | 08/01/17 02:39:29 | 172  | DST_HT410_PFScouting_v9  | 0.051081888    | 0.046368318   |
| 300237:6031 | 08/01/17 03:48:17 | 715  | DST_HT410_PFScouting_v9  | 0.175574770    | 0.163752968   |
| 300238:6031 | 08/01/17 08:39:51 | 290  | DST_HT410_PFScouting_v9  | 0.055537468    | 0.050321407   |
| 300239:6031 | 08/01/17 10:36:42 | 202  | DST_HT410_PFScouting_v9  | 0.034946239    | 0.031288622   |
| 300240:6031 | 08/01/17 12:10:56 | 354  | DST_HT410_PFScouting_v9  | 0.051905110    | 0.047846177   |
| 300280:6035 | 08/02/17 06:47:45 | 548  | DST_HT410_PFScouting_v9  | 0.169325221    | 0.139408265   |
| 300281:6035 | 08/02/17 11:00:44 | 6    | DST_HT410_PFScouting_v9  | 0.001624421    | 0.001496696   |
| 300282:6035 | 08/02/17 11:08:14 | 131  | DST_HT410_PFScouting_v9  | 0.034653808    | 0.030814192   |
| 300283:6035 | 08/02/17 12:20:31 | 26   | DST_HT410_PFScouting_v9  | 0.006535921    | 0.005816356   |
| 300284:6035 | 08/02/17 12:35:38 | 679  | DST_HT410_PFScouting_v9  | 0.142047559    | 0.133886088   |
| 300364:6041 | 08/03/17 14:13:45 | 17   | DST_HT410_PFScouting_v9  | 0.005582962    | 0.003982633   |
| 300372:6041 | 08/03/17 15:32:05 | 8    | DST_HT410_PFScouting_v9  | 0.002388738    | 0.001983119   |
| 300375:6041 | 08/03/17 15:58:15 | 93   | DST_HT410_PFScouting_v9  | 0.026669505    | 0.024814757   |
| 300389:6044 | 08/03/17 20:48:33 | 115  | DST_HT410_PFScouting_v9  | 0.037088328    | 0.026869048   |
| 300399:6044 | 08/03/17 23:15:04 | 17   | DST_HT410_PFScouting_v9  | 0.005093560    | 0.004232691   |
| 300400:6044 | 08/03/17 23:26:33 | 672  | DST_HT410_PFScouting_v9  | 0.173954724    | 0.161513768   |
| 300401:6044 | 08/04/17 04:03:03 | 655  | DST_HT410_PFScouting_v9  | 0.123619783    | 0.116732915   |
| 300459:6046 | 08/04/17 14:16:31 | 293  | DST_HT410_PFScouting_v9  | 0.092356937    | 0.081507468   |
| 300461:6046 | 08/04/17 16:16:24 | 88   | DST_HT410_PFScouting_v9  | 0.026139163    | 0.023737911   |
| 300462:6046 | 08/04/17 16:56:36 | 91   | DST_HT410_PFScouting_v9  | 0.025829148    | 0.023357553   |
| 300463:6046 | 08/04/17 17:38:40 | 124  | DST_HT410_PFScouting_v9  | 0.033204679    | 0.030793470   |
| 300464:6046 | 08/04/17 18:34:29 | 243  | DST_HT410_PFScouting_v9  | 0.060512977    | 0.054223185   |
| 300466:6046 | 08/04/17 20:25:04 | 643  | DST_HT410_PFScouting_v9  | 0.129842349    | 0.121744279   |
| 300467:6046 | 08/05/17 00:39:50 | 563  | DST_HT410_PFScouting_v9  | 0.085435588    | 0.080529050   |
| 300497:6048 | 08/05/17 09:32:31 | 150  | DST_HT410_PFScouting_v9  | 0.052151071    | 0.040034684   |
| 300514:6050 | 08/05/17 14:01:12 | 113  | DST_HT410_PFScouting_v9  | 0.038836191    | 0.029355551   |
| 300515:6050 | 08/05/17 14:46:59 | 895  | DST_HT410_PFScouting_v9  | 0.257682463    | 0.238582156   |
| 300516:6050 | 08/05/17 21:30:10 | 109  | DST_HT410_PFScouting_v9  | 0.023466106    | 0.019603000   |
| 300517:6050 | 08/05/17 22:16:08 | 529  | DST_HT410_PFScouting_v9  | 0.097530331    | 0.092323471   |
| 300558:6052 | 08/06/17 13:30:09 | 534  | DST_HT410_PFScouting_v9  | 0.128252468    | 0.119182107   |
| 300560:6052 | 08/06/17 17:03:15 | 840  | DST_HT410_PFScouting_v9  | 0.149112283    | 0.140271192   |
| 300574:6053 | 08/07/17 04:51:21 | 96   | DST_HT410_PFScouting_v9  | 0.030115650    | 0.024120096   |
| 300575:6053 | 08/07/17 05:34:38 | 76   | DST_HT410_PFScouting_v9  | 0.024125483    | 0.012558143   |
| 300576:6053 | 08/07/17 06:08:51 | 1199 | DST_HT410_PFScouting_v9  | 0.297775839    | 0.278621069   |
| 300631:6054 | 08/07/17 17:33:51 | 159  | DST_HT410_PFScouting_v9  | 0.052008843    | 0.042706842   |
| 300632:6054 | 08/07/17 18:47:35 | 20   | DST_HT410_PFScouting_v9  | 0.006369599    | 0.004065109   |
| 300633:6054 | 08/07/17 18:58:51 | 447  | DST_HT410_PFScouting_v9  | 0.131621478    | 0.120792956   |
| 300635:6054 | 08/07/17 22:07:40 | 174  | DST_HT410_PFScouting_v9  | 0.045275114    | 0.041778495   |
| 300636:6054 | 08/07/17 23:23:44 | 1570 | DST_HT410_PFScouting_v9  | 0.286541537    | 0.270292118   |
| 300673:6055 | 08/08/17 12:50:17 | 16   | DST_HT410_PFScouting_v9  | 0.005458718    | 0.005054887   |
| 300674:6055 | 08/08/17 13:03:35 | 30   | DST_HT410_PFScouting_v9  | 0.009798490    | 0.007854279   |
| 300675:6055 | 08/08/17 13:18:43 | 25   | DST_HT410_PFScouting_v9  | 0.008247549    | 0.002899315   |
| 300676:6055 | 08/08/17 13:31:55 | 26   | DST_HT410_PFScouting_v9  | 0.008394781    | 0.007291862   |
| 300742:6057 | 08/08/17 19:08:58 | 288  | DST_HT410_PFScouting_v9  | 0.096843404    | 0.083983676   |
| 300777:6060 | 08/09/17 06:47:35 | 489  | DST_HT410_PFScouting_v9  | 0.147097646    | 0.130414849   |
| 300780:6060 | 08/09/17 10:01:22 | 334  | DST_HT410_PFScouting_v9  | 0.086204854    | 0.079071792   |
| 300785:6060 | 08/09/17 12:49:33 | 1252 | DST_HT410_PFScouting_v9  | 0.225500297    | 0.212773901   |
| 300806:6061 | 08/09/17 23:47:20 | 179  | DST_HT410_PFScouting_v9  | 0.065791937    | 0.054218346   |
| 300811:6061 | 08/10/17 01:03:45 | 500  | DST_HT410_PFScouting_v9  | 0.162755911    | 0.144699407   |
| 300812:6061 | 08/10/17 04:25:24 | 58   | DST_HT410_PFScouting_v9  | 0.016605612    | 0.014797894   |
| 300816:6061 | 08/10/17 04:54:46 | 150  | DST_HT410_PFScouting_v9  | 0.041034323    | 0.034740265   |
| 300817:6061 | 08/10/17 05:55:18 | 460  | DST_HT410_PFScouting_v9  | 0.107187470    | 0.099409519   |
+-------------+-------------------+------+--------------------------+----------------+---------------+
#Summary: 
+--------------------------+-------+------+-------+-------------------+------------------+
| hltpath                  | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+--------------------------+-------+------+-------+-------------------+------------------+
| DST_HT410_PFScouting_v10 | 27    | 56   | 23304 | 3.555091917       | 3.418891141      |
| DST_HT410_PFScouting_v11 | 18    | 47   | 19043 | 2.958644644       | 2.862249281      |
| DST_HT410_PFScouting_v12 | 67    | 144  | 90815 | 21.631376818      | 20.595794555     |
| DST_HT410_PFScouting_v13 | 6     | 27   | 14589 | 2.953962282       | 2.801640872      |
| DST_HT410_PFScouting_v14 | 2     | 13   | 4469  | 0.901025085       | 0.862255849      |
| DST_HT410_PFScouting_v9  | 20    | 66   | 22775 | 5.399580877       | 4.879405647      |
+--------------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 37.399681623
#Sum recorded : 35.420237346
#Check JSON:
#(run,ls) in json but not in results: [(306454, 98), (306454, 99), (306454, 100), (306454, 101), (306455, 7), (306455, 8), (306455, 9), (306455, 10), (306455, 11), (306456, 785), (306456, 786), (306456, 787), (306457, 29), (306457, 30), (306457, 31), (306458, 265), (306458, 266), (306458, 267), (306458, 268), (306459, 2275), (306460, 65), (306460, 66), (306460, 67), (306460, 68), (306460, 69), (306460, 70), (306460, 71), (306460, 72), (306460, 73)]
